Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7720252,Beautiful Malice,Rebecca  James,"James, Rebecca",,"=""0553808052""","=""9780553808056""",5,3.74,Bantam,Hardcover,272,2010,2010,,2023/11/08,,,read,,,,1,0
52715989,Writers & Lovers,Lily King,"King, Lily",,"=""0802148530""","=""9780802148537""",0,4.03,Grove Press,Hardcover,324,2020,2020,,2023/11/12,to-read,to-read (#213),to-read,,,,0,0
52656911,The Guest List,Lucy Foley,"Foley, Lucy",,"=""""","=""""",0,3.83,William Morrow,Kindle Edition,319,2020,2020,,2023/11/12,to-read,to-read (#212),to-read,,,,0,0
157062582,"The Mystery Guest (Molly the Maid, #2)",Nita Prose,"Prose, Nita",,"=""0593356187""","=""9780593356180""",0,4.03,Ballantine Books,Hardcover,304,2023,2023,,2023/11/12,to-read,to-read (#211),to-read,,,,0,0
2884957,"Berlinerpoplene (Familien Neshov, #1)",Anne B. Ragde,"Ragde, Anne B.",,"=""""","=""9788249502721""",0,3.80,Oktober ,Hardcover,313,2004,2004,,2023/11/12,to-read,to-read (#210),to-read,,,,0,0
6014300,"Trollvinter (Mumintrollen, #6)",Tove Jansson,"Jansson, Tove",,"=""9150104756""","=""9789150104752""",0,4.41,Alfabeta,Hardcover,134,2004,1957,,2023/11/12,to-read,to-read (#209),to-read,,,,0,0
22557272,The Girl on the Train,Paula Hawkins,"Hawkins, Paula",,"=""1594633665""","=""9781594633669""",0,3.96,Riverhead Books,Hardcover,336,2015,2015,,2023/11/12,to-read,to-read (#208),to-read,,,,0,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",0,4.51,Ballantine Books,Hardcover,476,2021,2021,,2023/11/12,to-read,to-read (#207),to-read,,,,0,0
28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""""","=""""",0,3.90,Harper,Paperback,212,2016,2016,,2023/11/12,to-read,to-read (#206),to-read,,,,0,0
89723,The Lottery and Other Stories,Shirley Jackson,"Jackson, Shirley",A.M. Homes,"=""0374529531""","=""9780374529536""",0,4.04,"Farrar, Straus and Giroux",Paperback,302,2005,1949,,2023/11/11,to-read,to-read (#205),to-read,,,,0,0
152,Anna Karenina,Leo Tolstoy,"Tolstoy, Leo","David Magarshack, Priscilla Meyer","=""""","=""""",0,4.09,Signet,Mass Market Paperback,960,2002,1878,,2023/11/11,to-read,to-read (#204),to-read,,,,0,0
54814676,Crying in H Mart,Michelle Zauner,"Zauner, Michelle",,"=""0525657746""","=""9780525657743""",0,4.27,Knopf,Hardcover,256,2021,2021,,2023/11/11,to-read,to-read (#203),to-read,,,,0,0
286957,The Yellow Wall-Paper,Charlotte Perkins Gilman,"Gilman, Charlotte Perkins",Elaine Hedges,"=""1558611584""","=""9781558611580""",0,4.10,The Feminist Press at CUNY,Paperback,64,1996,1892,,2023/11/11,to-read,to-read (#202),to-read,,,,0,0
